order_test,trial_num,question,correct_answer,request_type,item
0,1,polite,speaker1,please,light
0,2,polite,speaker1,please,water
0,3,rude,speaker1,idq,toys
0,4,polite,speaker2,please_idq,store
0,5,rude,speaker2,please,chocolate
0,6,polite,speaker2,please_idq,no_singing
0,7,polite,speaker2,idq,no_running
0,8,rude,speaker2,please_idq,bread
0,9,rude,speaker1,please_idq,scissors
0,10,polite,speaker1,idq,puzzle
0,11,rude,speaker2,please,no_shouting
0,12,rude,speaker2,idq,game
1,1,polite,speaker2,please,puzzle
1,2,rude,speaker1,please,no_shouting
1,3,rude,speaker2,idq,no_running
1,4,polite,speaker2,please_idq,bread
1,5,rude,speaker2,please,game
1,6,polite,speaker1,please_idq,scissors
1,7,rude,speaker2,idq,no_singing
1,8,polite,speaker2,please_idq,chocolate
1,9,rude,speaker2,please_idq,store
1,10,polite,speaker2,idq,toys
1,11,rude,speaker1,please,water
1,12,polite,speaker2,idq,light