"subid","order","trial_num","target1side","target2side","qtype1","qtype2","correct1","correct2","date","time"
"041117-02","1",0,"L","R","mean","nice",1,1,"4/11/2017","14:33"
"041117-02","1",1,"L","L","polite","play",1,1,"4/11/2017","14:33"
"041117-02","1",2,"L","L","nice","comp",1,1,"4/11/2017","14:33"
"041117-02","1",3,"L","R","mean","play",1,1,"4/11/2017","14:33"
"041117-02","1",4,"R","R","nice","comp",1,1,"4/11/2017","14:33"
"041117-02","1",5,"R","L","mean","comp",1,1,"4/11/2017","14:33"
"041117-02","1",6,"R","R","polite","play",1,1,"4/11/2017","14:33"
"041117-02","1",7,"R","R","nice","play",1,1,"4/11/2017","14:33"
"041117-02","1",8,"R","L","mean","play",1,1,"4/11/2017","14:33"
"041117-02","1",9,"R","L","rude","comp",0,0,"4/11/2017","14:33"
"041117-02","1",10,"L","L","polite","comp",1,1,"4/11/2017","14:33"
"041117-02","1",11,"R","L","rude","play",1,1,"4/11/2017","14:33"
"041117-02","1",12,"R","L","rude","comp",0,0,"4/11/2017","14:33"
"041117-03","1",0,"R","R","mean","nice",0,1,"4/11/2017","15:32"
"041117-03","1",1,"L","L","polite","play",1,1,"4/11/2017","15:32"
"041117-03","1",2,"L","L","nice","comp",1,1,"4/11/2017","15:32"
"041117-03","1",3,"R","R","mean","play",0,1,"4/11/2017","15:32"
"041117-03","1",4,"R","L","nice","comp",1,0,"4/11/2017","15:32"
"041117-03","1",5,"L","L","mean","comp",0,1,"4/11/2017","15:32"
"041117-03","1",6,"R","R","polite","play",1,1,"4/11/2017","15:32"
"041117-03","1",7,"R","R","nice","play",1,1,"4/11/2017","15:32"
"041117-03","1",8,"L","L","mean","play",0,1,"4/11/2017","15:32"
"041117-03","1",9,"R","R","rude","comp",0,1,"4/11/2017","15:32"
"041117-03","1",10,"L","L","polite","comp",1,1,"4/11/2017","15:32"
"041117-03","1",11,"R","L","rude","play",1,1,"4/11/2017","15:32"
"041117-03","1",12,"R","R","rude","comp",0,1,"4/11/2017","15:32"
"170215-01","2",0,"R","L","mean","nice",1,1,"2/15/17","8:57"
"170215-01","2",1,"R","L","polite","comp",1,0,"2/15/17","8:57"
"170215-01","2",2,"R","L","rude","play",0,0,"2/15/17","8:57"
"170215-01","2",3,"L","R","mean","play",0,0,"2/15/17","8:57"
"170215-01","2",4,"L","R","nice","play",0,1,"2/15/17","8:57"
"170215-01","2",5,"L","R","rude","comp",0,0,"2/15/17","8:57"
"170215-01","2",6,"L","L","polite","comp",1,1,"2/15/17","8:57"
"170215-01","2",7,"L","R","rude","play",0,0,"2/15/17","8:57"
"170215-01","2",8,"L","R","nice","comp",0,1,"2/15/17","8:57"
"170215-01","2",9,"L","R","mean","comp",0,0,"2/15/17","8:57"
"170215-01","2",10,"L","R","nice","play",1,0,"2/15/17","8:57"
"170215-01","2",11,"L","R","mean","comp",1,1,"2/15/17","8:57"
"170215-01","2",12,"R","L","polite","play",1,0,"2/15/17","8:57"
"170228-01","2",0,"R","L","mean","nice",1,1,"2/28/17","12:39"
"170228-01","2",1,"R","R","polite","comp",1,1,"2/28/17","12:39"
"170228-01","2",2,"L","R","rude","play",1,1,"2/28/17","12:39"
"170228-01","2",3,"R","L","mean","play",1,1,"2/28/17","12:39"
"170228-01","2",4,"R","R","nice","play",1,0,"2/28/17","12:39"
"170228-01","2",5,"R","L","rude","comp",1,1,"2/28/17","12:39"
"170228-01","2",6,"L","L","polite","comp",1,1,"2/28/17","12:39"
"170228-01","2",7,"R","L","rude","play",1,1,"2/28/17","12:39"
"170228-01","2",8,"R","R","nice","comp",1,1,"2/28/17","12:39"
"170228-01","2",9,"R","L","mean","comp",1,1,"2/28/17","12:39"
"170228-01","2",10,"L","L","nice","play",1,1,"2/28/17","12:39"
"170228-01","2",11,"L","R","mean","comp",1,1,"2/28/17","12:39"
"170228-01","2",12,"R","R","polite","play",1,1,"2/28/17","12:39"
"170228-02","2",0,"L","L","mean","nice",0,1,"2/28/17","13:52"
"170228-02","2",1,"R","R","polite","comp",1,1,"2/28/17","13:52"
"170228-02","2",2,"L","R","rude","play",1,1,"2/28/17","13:52"
"170228-02","2",3,"R","L","mean","play",1,1,"2/28/17","13:52"
"170228-02","2",4,"R","R","nice","play",1,1,"2/28/17","13:52"
"170228-02","2",5,"L","R","rude","comp",0,0,"2/28/17","13:52"
"170228-02","2",6,"L","L","polite","comp",1,1,"2/28/17","13:52"
"170228-02","2",7,"R","L","rude","play",1,1,"2/28/17","13:52"
"170228-02","2",8,"R","R","nice","comp",1,1,"2/28/17","13:52"
"170228-02","2",9,"R","L","mean","comp",1,1,"2/28/17","13:52"
"170228-02","2",10,"L","L","nice","play",1,1,"2/28/17","13:52"
"170228-02","2",11,"L","R","mean","comp",1,1,"2/28/17","13:52"
"170228-02","2",12,"R","R","polite","play",1,1,"2/28/17","13:52"
"170228-03","1",0,"L","R","mean","nice",1,1,"2/28/2017","14:11"
"170228-03","1",1,"R","L","polite","play",0,1,"2/28/2017","14:11"
"170228-03","1",2,"L","L","nice","comp",1,1,"2/28/2017","14:11"
"170228-03","1",3,"L","R","mean","play",1,1,"2/28/2017","14:11"
"170228-03","1",4,"L","L","nice","comp",0,0,"2/28/2017","14:11"
"170228-03","1",5,"R","L","mean","comp",1,1,"2/28/2017","14:11"
"170228-03","1",6,"R","R","polite","play",1,1,"2/28/2017","14:11"
"170228-03","1",7,"R","R","nice","play",1,1,"2/28/2017","14:11"
"170228-03","1",8,"R","L","mean","play",1,1,"2/28/2017","14:11"
"170228-03","1",9,"L","R","rude","comp",1,1,"2/28/2017","14:11"
"170228-03","1",10,"L","L","polite","comp",1,1,"2/28/2017","14:11"
"170228-03","1",11,"R","L","rude","play",1,1,"2/28/2017","14:11"
"170228-03","1",12,"L","R","rude","comp",1,1,"2/28/2017","14:11"
"170228-04","2",0,"R","L","mean","nice",1,1,"2/28/17","14:26"
"170228-04","2",1,"L","R","polite","comp",0,1,"2/28/17","14:26"
"170228-04","2",2,"R","L","rude","play",0,0,"2/28/17","14:26"
"170228-04","2",3,"R","L","mean","play",1,1,"2/28/17","14:26"
"170228-04","2",4,"R","R","nice","play",1,1,"2/28/17","14:26"
"170228-04","2",5,"R","L","rude","comp",1,1,"2/28/17","14:26"
"170228-04","2",6,"L","L","polite","comp",1,1,"2/28/17","14:26"
"170228-04","2",7,"R","L","rude","play",1,1,"2/28/17","14:26"
"170228-04","2",8,"R","R","nice","comp",1,1,"2/28/17","14:26"
"170228-04","2",9,"R","L","mean","comp",1,1,"2/28/17","14:26"
"170228-04","2",10,"L","L","nice","play",1,1,"2/28/17","14:26"
"170228-04","2",11,"R","L","mean","comp",0,0,"2/28/17","14:26"
"170228-04","2",12,"R","R","polite","play",1,1,"2/28/17","14:26"
"170228-05","2",0,"R","L","mean","nice",1,1,"2/28/17","15:20"
"170228-05","2",1,"R","L","polite","comp",1,0,"2/28/17","15:20"
"170228-05","2",2,"L","R","rude","play",1,1,"2/28/17","15:20"
"170228-05","2",3,"R","L","mean","play",1,1,"2/28/17","15:20"
"170228-05","2",4,"R","R","nice","play",1,1,"2/28/17","15:20"
"170228-05","2",5,"L","R","rude","comp",0,0,"2/28/17","15:20"
"170228-05","2",6,"L","L","polite","comp",1,1,"2/28/17","15:20"
"170228-05","2",7,"R","L","rude","play",1,1,"2/28/17","15:20"
"170228-05","2",8,"R","R","nice","comp",1,1,"2/28/17","15:20"
"170228-05","2",9,"R","L","mean","comp",1,1,"2/28/17","15:20"
"170228-05","2",10,"L","L","nice","play",1,1,"2/28/17","15:20"
"170228-05","2",11,"L","R","mean","comp",1,1,"2/28/17","15:20"
"170228-05","2",12,"R","R","polite","play",1,1,"2/28/17","15:20"
"170306-01","1",0,"L","R","mean","nice",1,1,"3/6/2017","9:43"
"170306-01","1",1,"R","R","polite","play",0,0,"3/6/2017","9:43"
"170306-01","1",2,"L","L","nice","comp",1,1,"3/6/2017","9:43"
"170306-01","1",3,"L","R","mean","play",1,1,"3/6/2017","9:43"
"170306-01","1",4,"L","L","nice","comp",0,0,"3/6/2017","9:43"
"170306-01","1",5,"R","R","mean","comp",1,0,"3/6/2017","9:43"
"170306-01","1",6,"R","R","polite","play",1,1,"3/6/2017","9:43"
"170306-01","1",7,"R","R","nice","play",1,1,"3/6/2017","9:43"
"170306-01","1",8,"L","L","mean","play",0,1,"3/6/2017","9:43"
"170306-01","1",9,"R","L","rude","comp",0,0,"3/6/2017","9:43"
"170306-01","1",10,"L","L","polite","comp",1,1,"3/6/2017","9:43"
"170306-01","1",11,"R","L","rude","play",1,1,"3/6/2017","9:43"
"170306-01","1",12,"R","L","rude","comp",0,0,"3/6/2017","9:43"
"170307-01","1",0,"L","R","mean","nice",1,1,"3/7/2017","12:35"
"170307-01","1",1,"L","L","polite","play",1,1,"3/7/2017","12:35"
"170307-01","1",2,"L","L","nice","comp",1,1,"3/7/2017","12:35"
"170307-01","1",3,"L","R","mean","play",1,1,"3/7/2017","12:35"
"170307-01","1",4,"R","R","nice","comp",1,1,"3/7/2017","12:35"
"170307-01","1",5,"R","L","mean","comp",1,1,"3/7/2017","12:35"
"170307-01","1",6,"R","R","polite","play",1,1,"3/7/2017","12:35"
"170307-01","1",7,"R","R","nice","play",1,1,"3/7/2017","12:35"
"170307-01","1",8,"R","L","mean","play",1,1,"3/7/2017","12:35"
"170307-01","1",9,"L","L","rude","comp",1,0,"3/7/2017","12:35"
"170307-01","1",10,"L","L","polite","comp",1,1,"3/7/2017","12:35"
"170307-01","1",11,"R","L","rude","play",1,1,"3/7/2017","12:35"
"170307-01","1",12,"L","R","rude","comp",1,1,"3/7/2017","12:35"
"170307-02","1",0,"L","R","mean","nice",1,1,"3/7/2017","14:06"
"170307-02","1",1,"L","L","polite","play",1,1,"3/7/2017","14:06"
"170307-02","1",2,"L","L","nice","comp",1,1,"3/7/2017","14:06"
"170307-02","1",3,"L","R","mean","play",1,1,"3/7/2017","14:06"
"170307-02","1",4,"R","R","nice","comp",1,1,"3/7/2017","14:06"
"170307-02","1",5,"R","L","mean","comp",1,1,"3/7/2017","14:06"
"170307-02","1",6,"L","R","polite","play",0,1,"3/7/2017","14:06"
"170307-02","1",7,"R","R","nice","play",1,1,"3/7/2017","14:06"
"170307-02","1",8,"R","L","mean","play",1,1,"3/7/2017","14:06"
"170307-02","1",9,"L","R","rude","comp",1,1,"3/7/2017","14:06"
"170307-02","1",10,"L","L","polite","comp",1,1,"3/7/2017","14:06"
"170307-02","1",11,"R","L","rude","play",1,1,"3/7/2017","14:06"
"170307-02","1",12,"L","R","rude","comp",1,1,"3/7/2017","14:06"
"170307-03","2",0,"R","L","mean","nice",1,1,"3/7/2017","14:18"
"170307-03","2",1,"R","L","polite","comp",1,0,"3/7/2017","14:18"
"170307-03","2",2,"L","R","rude","play",1,1,"3/7/2017","14:18"
"170307-03","2",3,"R","L","mean","play",1,1,"3/7/2017","14:18"
"170307-03","2",4,"R","R","nice","play",1,1,"3/7/2017","14:18"
"170307-03","2",5,"R","L","rude","undefined",1,1,"3/7/2017","14:18"
"170307-03","2",6,"L","L","polite","comp",1,1,"3/7/2017","14:18"
"170307-03","2",7,"R","R","rude","comp",1,0,"3/7/2017","14:18"
"170307-03","2",8,"R","R","nice","play",1,1,"3/7/2017","14:18"
"170307-03","2",9,"R","L","mean","comp",1,1,"3/7/2017","14:18"
"170307-03","2",10,"L","L","nice","comp",1,1,"3/7/2017","14:18"
"170307-03","2",11,"L","R","mean","play",1,1,"3/7/2017","14:18"
"170307-03","2",12,"R","R","polite","comp",1,1,"3/7/2017","14:18"
"170307-04","2",0,"R","L","mean","nice",1,1,"3/7/17","15:23"
"170307-04","2",1,"L","R","polite","comp",0,1,"3/7/17","15:23"
"170307-04","2",2,"L","R","rude","play",1,1,"3/7/17","15:23"
"170307-04","2",3,"R","L","mean","play",1,1,"3/7/17","15:23"
"170307-04","2",4,"R","L","nice","play",1,0,"3/7/17","15:23"
"170307-04","2",5,"L","L","rude","comp",0,1,"3/7/17","15:23"
"170307-04","2",6,"L","L","polite","comp",1,1,"3/7/17","15:23"
"170307-04","2",7,"R","L","rude","play",1,1,"3/7/17","15:23"
"170307-04","2",8,"R","R","nice","comp",1,0,"3/7/17","15:23"
"170307-04","2",9,"R","L","mean","comp",1,1,"3/7/17","15:23"
"170307-04","2",10,"L","L","nice","play",1,1,"3/7/17","15:23"
"170307-04","2",11,"L","R","mean","comp",1,1,"3/7/17","15:23"
"170307-04","2",12,"R","R","polite","play",1,1,"3/7/17","15:23"
"170308-01","2",0,"R","L","mean","nice",1,1,"3/8/17","9:50"
"170308-01","2",1,"R","L","polite","comp",1,0,"3/8/17","9:50"
"170308-01","2",2,"R","L","rude","play",0,0,"3/8/17","9:50"
"170308-01","2",3,"L","R","mean","play",0,0,"3/8/17","9:50"
"170308-01","2",4,"L","R","nice","play",0,1,"3/8/17","9:50"
"170308-01","2",5,"L","R","rude","comp",0,0,"3/8/17","9:50"
"170308-01","2",6,"R","L","polite","comp",0,1,"3/8/17","9:50"
"170308-01","2",7,"R","L","rude","play",1,1,"3/8/17","9:50"
"170308-01","2",8,"L","R","nice","comp",0,1,"3/8/17","9:50"
"170308-01","2",9,"R","L","mean","comp",1,1,"3/8/17","9:50"
"170308-01","2",10,"L","L","nice","play",1,1,"3/8/17","9:50"
"170308-01","2",11,"L","R","mean","comp",1,1,"3/8/17","9:50"
"170308-01","2",12,"R","L","polite","play",1,0,"3/8/17","9:50"
"170308-02","1",0,"L","R","mean","nice",1,1,"3/8/2017","10:09"
"170308-02","1",1,"L","L","polite","play",1,1,"3/8/2017","10:09"
"170308-02","1",2,"L","L","nice","comp",1,1,"3/8/2017","10:09"
"170308-02","1",3,"L","R","mean","play",1,1,"3/8/2017","10:09"
"170308-02","1",4,"R","R","nice","comp",1,1,"3/8/2017","10:09"
"170308-02","1",5,"R","L","mean","comp",1,1,"3/8/2017","10:09"
"170308-02","1",6,"R","R","polite","play",1,1,"3/8/2017","10:09"
"170308-02","1",7,"R","R","nice","play",1,1,"3/8/2017","10:09"
"170308-02","1",8,"R","L","mean","play",1,1,"3/8/2017","10:09"
"170308-02","1",9,"L","R","rude","comp",1,1,"3/8/2017","10:09"
"170308-02","1",10,"L","L","polite","comp",1,1,"3/8/2017","10:09"
"170308-02","1",11,"R","L","rude","play",1,1,"3/8/2017","10:09"
"170308-02","1",12,"L","R","rude","comp",1,1,"3/8/2017","10:09"
"170308-03.2","2",0,"L","R","mean","nice",0,0,"3/8/2017","11:10"
"170308-03.2","2",1,"L","R","polite","comp",0,1,"3/8/2017","11:10"
"170308-03.2","2",2,"L","R","rude","play",1,1,"3/8/2017","11:10"
"170308-03.2","2",3,"L","R","mean","play",0,0,"3/8/2017","11:10"
"170308-03.2","2",4,"L","R","nice","play",0,1,"3/8/2017","11:10"
"170308-03","2",0,"L","R","mean","nice",0,0,"3/8/2017","11:01"
"170308-03","2",1,"R","L","polite","comp",1,0,"3/8/2017","11:01"
"170308-03","2",2,"R","L","rude","play",0,0,"3/8/2017","11:01"
"170308-03","2",3,"L","R","mean","play",0,0,"3/8/2017","11:01"
"170308-03","2",4,"R","L","nice","play",1,0,"3/8/2017","11:01"
"170308-03","2",5,"L","R","rude","undefined",0,0,"3/8/2017","11:01"
"170313-01","2",0,"R","L","mean","nice",1,1,"3/13/17","9:03"
"170313-01","2",1,"L","R","polite","comp",0,1,"3/13/17","9:03"
"170313-01","2",2,"L","R","rude","play",1,1,"3/13/17","9:03"
"170313-01","2",3,"L","R","mean","play",0,0,"3/13/17","9:03"
"170313-01","2",4,"L","R","nice","play",0,1,"3/13/17","9:03"
"170313-01","2",5,"L","R","rude","comp",0,0,"3/13/17","9:03"
"170313-01","2",6,"L","R","polite","comp",1,0,"3/13/17","9:03"
"170313-01","2",7,"L","R","rude","play",0,0,"3/13/17","9:03"
"170313-01","2",8,"L","R","nice","comp",0,1,"3/13/17","9:03"
"170313-01","2",9,"L","R","mean","comp",0,0,"3/13/17","9:03"
"170313-01","2",10,"L","R","nice","play",1,0,"3/13/17","9:03"
"170313-01","2",11,"R","L","mean","comp",0,0,"3/13/17","9:03"
"170313-01","2",12,"L","R","polite","play",0,1,"3/13/17","9:03"
"170313-02","1",0,"L","R","mean","nice",1,1,"3/13/2017","9:44"
"170313-02","1",1,"L","L","polite","play",1,1,"3/13/2017","9:44"
"170313-02","1",2,"L","L","nice","comp",1,1,"3/13/2017","9:44"
"170313-02","1",3,"L","R","mean","play",1,1,"3/13/2017","9:44"
"170313-02","1",4,"R","R","nice","comp",1,1,"3/13/2017","9:44"
"170313-02","1",5,"R","L","mean","comp",1,1,"3/13/2017","9:44"
"170313-02","1",6,"R","R","polite","play",1,1,"3/13/2017","9:44"
"170313-02","1",7,"R","R","nice","play",1,1,"3/13/2017","9:44"
"170313-02","1",8,"R","L","mean","play",1,1,"3/13/2017","9:44"
"170313-02","1",9,"R","L","rude","comp",0,0,"3/13/2017","9:44"
"170313-02","1",10,"L","L","polite","comp",1,1,"3/13/2017","9:44"
"170313-02","1",11,"R","L","rude","play",1,1,"3/13/2017","9:44"
"170313-02","1",12,"R","L","rude","comp",0,0,"3/13/2017","9:44"
"170313-03","1",0,"L","R","mean","nice",1,1,"3/13/2017","10:07"
"170313-03","1",1,"R","L","polite","play",0,1,"3/13/2017","10:07"
"170313-03","1",2,"L","L","nice","comp",1,1,"3/13/2017","10:07"
"170313-03","1",3,"L","R","mean","play",1,1,"3/13/2017","10:07"
"170313-03","1",4,"R","R","nice","comp",1,1,"3/13/2017","10:07"
"170313-03","1",5,"L","R","mean","comp",0,0,"3/13/2017","10:07"
"170313-03","1",6,"R","R","polite","play",1,1,"3/13/2017","10:07"
"170313-03","1",7,"L","L","nice","play",0,0,"3/13/2017","10:07"
"170313-03","1",8,"R","L","mean","play",1,1,"3/13/2017","10:07"
"170313-03","1",9,"L","R","rude","comp",1,1,"3/13/2017","10:07"
"170313-03","1",10,"L","L","polite","comp",1,1,"3/13/2017","10:07"
"170313-03","1",11,"R","L","rude","play",1,1,"3/13/2017","10:07"
"170313-03","1",12,"L","L","rude","comp",1,1,"3/13/2017","10:07"
"170313-04","1",0,"L","R","mean","nice",1,1,"3/13/2017","11:01"
"170313-04","1",1,"L","R","polite","play",1,0,"3/13/2017","11:01"
"170313-04","1",2,"L","L","nice","comp",1,1,"3/13/2017","11:01"
"170313-04","1",3,"L","R","mean","play",1,1,"3/13/2017","11:01"
"170313-04","1",4,"R","R","nice","comp",1,1,"3/13/2017","11:01"
"170313-04","1",5,"R","L","mean","comp",1,1,"3/13/2017","11:01"
"170313-04","1",6,"R","L","polite","play",1,0,"3/13/2017","11:01"
"170313-04","1",7,"R","R","nice","play",1,1,"3/13/2017","11:01"
"170313-04","1",8,"R","L","mean","play",1,1,"3/13/2017","11:01"
"170313-04","1",9,"L","R","rude","comp",1,1,"3/13/2017","11:01"
"170313-04","1",10,"L","L","polite","comp",1,1,"3/13/2017","11:01"
"170313-04","1",11,"R","L","rude","play",1,1,"3/13/2017","11:01"
"170313-04","1",12,"L","R","rude","comp",1,1,"3/13/2017","11:01"
"170314-01","2",0,"R","L","mean","nice",1,1,"3/14/17","12:41"
"170314-01","2",1,"L","R","polite","comp",0,1,"3/14/17","12:41"
"170314-01","2",2,"R","L","rude","play",0,0,"3/14/17","12:41"
"170314-01","2",3,"R","R","mean","play",1,0,"3/14/17","12:41"
"170314-01","2",4,"R","R","nice","play",1,1,"3/14/17","12:41"
"170314-01","2",5,"R","L","rude","comp",1,1,"3/14/17","12:41"
"170314-01","2",6,"L","L","polite","comp",1,1,"3/14/17","12:41"
"170314-01","2",7,"R","L","rude","play",1,1,"3/14/17","12:41"
"170314-01","2",8,"R","R","nice","comp",1,1,"3/14/17","12:41"
"170314-01","2",9,"R","L","mean","comp",1,1,"3/14/17","12:41"
"170314-01","2",10,"L","R","nice","play",1,0,"3/14/17","12:41"
"170314-01","2",11,"L","L","mean","comp",1,0,"3/14/17","12:41"
"170314-01","2",12,"R","L","polite","play",1,0,"3/14/17","12:41"
"170314-02","2",0,"R","L","mean","nice",1,1,"3/14/17","13:40"
"170314-02","2",1,"R","R","polite","comp",1,1,"3/14/17","13:40"
"170314-02","2",2,"R","R","rude","play",0,1,"3/14/17","13:40"
"170314-02","2",3,"R","R","mean","play",1,0,"3/14/17","13:40"
"170314-02","2",4,"R","R","nice","play",1,1,"3/14/17","13:40"
"170314-02","2",5,"R","L","rude","comp",1,1,"3/14/17","13:40"
"170314-02","2",6,"L","L","polite","comp",1,1,"3/14/17","13:40"
"170314-02","2",7,"R","L","rude","play",1,1,"3/14/17","13:40"
"170314-02","2",8,"L","L","nice","comp",0,0,"3/14/17","13:40"
"170314-02","2",9,"R","L","mean","comp",1,1,"3/14/17","13:40"
"170314-02","2",10,"L","L","nice","play",1,1,"3/14/17","13:40"
"170314-02","2",11,"L","R","mean","comp",1,1,"3/14/17","13:40"
